ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1586207338039;247;231;249;255;213;247;245;258;213;228;248;270;206;229;249;262;0
1586207338075;232;227;245;251;207;243;239;250;207;223;245;266;202;230;249;261;35
1586207338110;230;226;245;252;209;244;239;250;206;222;244;266;202;230;250;262;35
1586207338146;229;224;243;251;209;246;242;252;207;222;243;265;202;230;250;263;35
1586207338182;231;225;243;250;207;244;242;253;208;223;243;264;201;229;250;263;35
1586207338219;232;227;244;250;206;242;239;252;208;224;244;266;201;229;249;262;35
1586207338253;231;227;246;252;208;243;239;250;207;223;244;266;202;230;249;261;35
1586207338289;229;225;245;252;209;245;240;251;206;222;243;266;202;230;250;262;35
1586207338325;230;224;243;251;208;245;242;253;207;222;243;265;201;230;250;263;35
1586207338360;231;225;243;250;206;243;241;253;208;224;244;265;201;229;249;262;35
1586207338396;232;227;245;251;206;242;239;251;208;224;244;266;202;229;249;261;35
1586207338432;230;227;245;252;208;243;239;250;207;223;244;266;202;230;250;261;35
1586207338468;229;225;244;252;209;245;241;251;206;222;243;265;202;230;250;262;35
1586207338503;230;224;243;250;207;245;242;253;207;223;243;264;201;229;250;263;35
1586207338539;232;226;244;250;206;243;240;253;208;224;244;265;201;229;249;262;35
1586207338574;232;227;245;251;207;243;238;250;207;223;245;266;202;230;249;261;35
1586207338610;230;226;245;252;209;244;240;250;206;222;244;266;202;230;250;262;35
1586207338646;229;224;243;251;209;245;242;252;207;222;243;265;202;230;250;263;35
1586207338681;231;225;243;250;207;244;241;253;208;223;243;265;201;229;250;262;35
1586207338717;232;227;244;250;206;242;239;252;208;224;244;265;201;229;249;262;35
1586207338753;231;227;246;252;208;243;239;250;207;223;244;266;202;230;249;261;35
1586207338789;229;225;245;252;209;245;240;251;206;222;243;265;202;230;250;262;35
1586207338824;230;224;243;250;208;245;242;253;207;222;243;265;201;230;250;263;35
1586207338860;231;226;243;250;206;243;241;253;208;223;243;265;201;229;249;262;35
1586207338896;232;227;245;251;206;242;239;251;208;224;245;266;202;229;249;261;35
1586207338931;230;226;245;252;208;244;239;250;207;222;244;266;202;230;250;261;35
1586207338967;229;225;244;252;209;245;241;251;206;222;243;265;202;230;250;262;35
1586207339006;230;224;243;250;207;245;242;253;208;223;243;265;201;229;250;263;35
1586207339038;232;226;244;250;206;242;240;253;208;224;244;265;201;229;249;262;35
1586207339074;232;227;245;251;207;243;239;250;207;223;244;266;202;229;249;261;35
1586207339110;230;226;245;252;209;244;239;250;206;222;244;266;202;230;250;262;35
1586207339146;229;224;243;251;209;245;242;252;207;222;243;265;202;230;250;263;35
1586207339181;231;225;243;250;206;244;241;253;208;223;243;265;201;229;250;262;35
1586207339218;232;227;244;250;206;242;239;252;208;223;244;266;201;229;249;262;35
1586207339253;231;227;246;252;208;243;239;250;207;223;244;266;202;230;249;261;35
1586207339288;229;225;245;252;209;245;240;251;206;222;243;265;202;230;250;262;35
1586207339324;230;224;243;250;208;245;242;253;207;223;243;265;201;230;250;263;35
