ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1586207235934;233;232;251;258;231;248;243;255;208;227;249;271;206;230;250;261;0
1586207235969;229;225;244;252;209;246;241;251;206;222;243;265;202;230;250;262;35
1586207236005;230;224;243;250;208;245;242;253;207;222;243;264;202;230;250;263;35
1586207236042;232;226;243;250;206;243;240;253;208;224;244;265;201;229;249;262;35
1586207236077;232;227;245;251;206;242;238;250;208;224;245;266;202;229;249;261;35
1586207236113;230;226;245;252;209;244;239;250;206;222;244;266;202;230;250;262;35
1586207236148;229;224;243;251;209;246;241;252;207;222;243;265;202;230;250;262;35
1586207236184;231;225;243;250;207;245;241;253;208;223;243;264;201;229;250;262;35
1586207236220;232;227;244;250;205;242;239;252;208;224;244;265;201;229;249;262;35
1586207236256;231;227;246;252;207;243;239;250;207;223;244;266;202;230;249;261;35
1586207236292;229;225;245;252;209;245;240;250;206;222;243;266;202;230;250;262;35
1586207236326;229;224;243;251;209;246;242;253;207;222;243;264;202;230;250;263;35
1586207236362;231;225;243;249;206;244;241;253;208;223;244;265;201;229;249;262;35
1586207236398;232;227;245;250;206;242;239;251;208;223;244;266;201;229;249;261;35
1586207236433;231;227;246;252;208;243;239;250;207;223;244;266;202;230;250;261;35
1586207236469;229;225;244;252;209;246;241;251;206;222;243;265;202;230;250;262;35
1586207236505;230;224;243;250;208;245;242;253;208;222;243;264;202;229;250;263;35
1586207236541;232;226;244;250;205;243;240;253;208;224;244;265;201;229;249;262;35
1586207236576;232;227;245;251;206;242;238;250;208;224;245;266;202;230;249;261;35
1586207236612;230;226;245;252;209;244;239;250;206;222;244;266;202;230;250;262;35
1586207236648;229;224;243;251;209;246;242;252;207;222;243;265;202;230;250;262;35
1586207236683;231;225;243;249;207;244;242;253;208;223;243;265;201;229;250;263;35
1586207236719;232;227;244;250;206;242;239;252;208;224;244;265;202;229;249;262;35
1586207236755;231;227;246;252;208;243;238;250;207;223;244;266;202;230;249;261;35
1586207236795;229;225;245;252;209;245;240;250;206;222;243;265;202;230;250;262;35
1586207236826;230;224;243;250;208;246;242;253;207;222;243;264;201;230;250;263;35
1586207236862;231;225;243;249;206;243;241;253;208;223;244;265;201;229;249;262;35
1586207236898;232;227;245;251;206;242;239;251;208;223;244;266;201;229;249;261;35
1586207236933;230;227;246;253;208;244;239;249;207;223;244;266;202;230;250;261;35
1586207236969;229;225;244;252;209;246;241;251;206;222;243;265;202;230;250;262;35
1586207237005;230;224;243;250;207;245;242;253;208;223;243;264;201;229;250;262;35
1586207237041;232;226;244;249;205;242;240;253;208;224;244;265;201;229;249;262;35
1586207237076;232;227;245;252;207;243;238;250;207;224;245;266;202;230;249;261;35
1586207237112;229;226;245;252;209;245;240;250;206;222;243;266;202;230;250;262;35
1586207237148;229;224;243;251;209;246;242;252;207;222;243;265;202;230;250;262;35
1586207237184;231;225;243;249;206;244;242;254;208;223;243;264;201;229;249;262;35
1586207237219;232;227;244;250;206;242;239;252;208;224;244;266;201;229;249;262;35
1586207237255;231;227;246;252;208;243;238;249;207;223;244;266;202;230;249;261;35
1586207237291;230;225;244;252;209;245;240;251;206;222;243;265;202;230;250;262;35
1586207237328;230;224;242;250;208;245;242;253;207;222;243;264;201;230;250;262;35
1586207237362;233;225;243;249;206;243;241;253;208;224;244;265;201;229;249;262;35
1586207237398;233;227;245;250;206;242;238;250;208;224;245;266;202;229;249;261;35
1586207237433;231;226;245;252;208;244;239;250;207;222;244;266;202;230;249;261;35
1586207237469;230;224;243;251;209;246;241;251;207;222;243;265;202;230;250;262;35
1586207237505;232;224;242;249;207;245;242;253;208;223;243;264;201;229;250;262;35
1586207237541;234;226;243;249;206;242;240;252;208;224;244;265;201;229;249;261;35
1586207237576;233;227;245;251;207;243;238;250;207;223;245;266;202;230;249;261;35
1586207237612;231;225;245;252;209;245;240;250;206;222;243;266;203;230;250;262;35
1586207237647;231;223;242;250;209;246;242;252;207;222;243;265;202;230;250;263;35
1586207237683;233;224;242;249;206;244;241;253;208;223;243;265;201;229;249;262;35
1586207237719;234;226;244;250;206;242;239;251;208;224;244;265;201;229;249;261;35
1586207237755;233;226;245;251;208;243;239;250;207;223;244;266;202;230;250;261;35
1586207237790;232;224;244;251;209;245;240;251;206;222;243;265;202;230;250;262;35
1586207237826;232;224;242;249;208;245;242;253;208;222;243;264;201;230;250;263;35
