ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1586208337559;253;232;249;253;207;250;246;257;217;227;248;269;203;229;250;262;0
1586208337595;232;229;245;248;207;244;238;249;208;224;244;266;202;229;249;261;35
1586208337632;230;229;246;250;209;245;238;248;207;223;244;266;202;230;249;261;35
1586208337667;228;227;245;250;210;247;241;249;206;222;243;265;202;230;250;262;35
1586208337702;229;226;243;248;208;247;242;252;208;223;243;264;201;230;250;263;35
1586208337737;231;228;244;247;206;244;240;251;208;224;244;265;201;229;249;262;35
1586208337773;232;229;246;249;207;244;238;248;208;223;244;266;202;229;249;261;35
1586208337809;229;228;246;251;210;246;239;248;206;222;244;266;203;230;250;261;35
1586208337845;228;226;244;249;210;248;241;250;207;222;243;265;202;230;251;262;35
1586208337880;230;226;243;247;207;246;242;252;208;223;243;264;201;229;250;262;35
1586208337916;232;228;245;248;206;244;239;251;208;224;244;265;201;229;249;261;35
1586208337952;231;229;246;250;208;244;238;248;207;223;244;266;202;230;249;261;35
1586208337987;229;227;246;250;210;247;239;248;206;222;243;266;202;230;250;262;35
1586208338023;229;226;243;249;210;247;242;251;207;222;243;264;202;230;250;263;35
1586208338059;231;227;244;247;207;245;241;251;208;224;243;264;201;229;250;262;35
1586208338094;232;229;245;248;206;243;238;250;208;224;244;266;202;229;249;261;35
1586208338130;230;229;246;250;209;245;238;248;207;223;244;266;202;230;250;261;35
1586208338166;228;227;245;250;210;247;240;249;206;222;243;265;202;230;250;262;35
1586208338201;229;226;243;248;209;247;242;251;207;222;243;264;201;229;250;262;35
1586208338237;231;228;244;247;206;244;240;251;208;224;243;264;201;229;249;262;35
1586208338273;232;229;246;249;207;244;238;249;208;223;245;266;202;229;249;261;35
1586208338309;229;228;246;251;209;246;239;248;206;222;244;266;202;230;250;262;35
1586208338345;228;226;244;250;210;248;241;250;207;222;242;265;202;230;250;262;35
1586208338380;230;226;243;247;208;246;241;252;208;223;243;264;201;229;250;262;35
1586208338416;232;228;245;248;206;244;239;251;208;224;244;265;201;229;249;261;35
1586208338452;231;229;246;250;208;244;238;248;207;224;244;266;202;230;249;261;35
1586208338487;229;227;246;251;210;246;239;248;206;222;243;266;202;230;250;262;35
1586208338523;229;225;243;249;210;248;241;251;207;222;243;264;202;230;250;262;35
1586208338559;231;227;243;247;207;245;241;252;208;223;243;264;201;229;249;262;35
1586208338594;232;229;245;248;206;243;238;250;208;224;244;265;201;229;249;261;35
1586208338630;230;229;246;250;209;244;238;248;207;223;244;266;202;230;249;261;35
1586208338666;228;226;245;250;210;247;240;249;206;222;243;265;202;230;250;262;35
1586208338701;229;226;243;248;209;247;241;251;208;223;243;264;201;231;250;262;35
1586208338737;231;227;244;247;206;244;240;251;208;224;244;265;201;229;249;262;35
1586208338773;232;229;246;249;207;244;238;249;208;223;245;266;202;229;249;261;35
1586208338808;229;228;246;251;210;246;239;248;207;222;244;266;202;230;250;261;35
1586208338844;228;226;244;250;210;248;241;250;207;222;243;265;202;230;250;262;35
1586208338880;230;226;243;247;208;247;241;252;208;223;243;264;201;229;250;262;35
1586208338916;232;228;244;248;206;244;239;251;208;224;244;265;201;229;249;262;35
1586208338951;231;229;246;250;208;244;238;248;207;224;245;266;202;229;249;261;35
1586208338987;229;227;246;250;210;246;239;248;206;222;243;266;203;230;250;262;35
1586208339023;229;226;244;249;210;247;241;250;207;222;243;264;202;230;250;263;35
1586208339058;231;227;243;247;207;246;241;252;208;223;243;264;201;229;250;262;35
1586208339094;232;229;245;248;206;243;238;250;208;224;244;265;202;229;249;261;35
1586208339130;230;229;246;250;209;244;238;248;207;223;244;266;202;230;249;261;35
1586208339166;228;227;245;250;210;247;240;249;206;222;243;265;202;230;250;262;35
1586208339201;229;226;243;248;209;247;242;251;208;223;243;264;201;230;250;262;35
1586208339237;231;228;244;247;206;245;240;251;208;224;244;264;201;229;249;262;35
1586208339273;232;229;246;249;207;243;238;249;208;224;244;266;202;229;249;261;35
1586208339308;230;228;246;251;209;246;239;248;207;222;244;266;202;230;250;261;35
1586208339344;228;226;244;250;210;247;241;250;207;222;243;265;202;230;250;262;35
1586208339380;230;226;243;247;208;247;241;252;208;223;243;264;201;229;250;262;35
1586208339416;232;228;244;247;206;244;239;251;208;224;244;265;201;229;249;262;35
1586208339451;231;229;246;250;208;244;238;248;207;223;244;266;202;229;249;261;35
1586208339487;229;228;246;251;210;246;239;248;206;222;243;266;202;230;250;261;35
1586208339523;229;226;244;249;210;247;242;251;207;222;242;264;202;230;250;262;35
1586208339558;230;227;243;247;207;246;241;252;208;223;243;264;201;229;249;262;35
1586208339595;232;229;245;248;206;243;239;250;208;224;244;265;201;229;249;261;35
1586208339630;231;229;246;250;209;245;238;248;207;223;244;266;203;230;249;261;35
1586208339665;228;227;245;250;210;247;240;249;206;222;243;265;202;230;250;262;35
1586208339701;229;226;243;248;209;247;242;251;207;222;243;264;201;229;250;262;35
1586208339737;231;227;244;247;206;245;240;251;208;223;244;265;201;229;249;262;35
1586208339772;232;229;246;249;207;243;238;249;208;224;245;266;202;229;249;261;35
1586208339808;230;229;246;251;209;245;238;248;207;223;244;266;202;230;250;261;35
1586208339844;228;226;244;250;210;247;241;250;207;222;243;265;202;230;251;262;35
1586208339880;230;226;243;247;208;247;241;252;208;223;243;264;201;229;250;262;35
1586208339915;232;228;244;248;206;244;239;251;208;224;244;265;201;229;249;262;35
1586208339959;231;229;246;249;207;244;238;248;208;224;244;266;202;229;249;261;35
1586208339987;229;228;246;251;210;246;239;248;206;222;243;266;202;230;250;262;35
1586208340022;229;226;244;249;210;247;241;250;207;222;243;264;202;230;251;262;35
1586208340058;230;227;243;247;207;246;241;252;208;223;243;264;201;229;250;262;35
1586208340094;232;229;245;248;206;243;238;250;208;224;244;265;201;229;249;261;35
1586208340130;231;229;246;250;208;244;238;248;207;223;244;266;202;230;249;261;35
1586208340165;229;227;245;251;210;247;240;249;206;222;243;265;202;230;250;262;35
1586208340201;229;226;243;248;209;247;242;251;208;222;242;264;201;230;250;262;35
1586208340237;231;227;244;247;206;245;240;252;208;224;244;265;201;229;249;262;35
1586208340272;232;229;246;249;207;244;238;249;208;224;245;266;202;229;249;261;35
1586208340308;230;229;246;251;209;245;238;248;207;223;244;266;202;230;250;261;35
1586208340344;228;226;245;250;210;248;241;249;207;222;243;265;202;230;250;262;35
1586208340379;230;226;243;248;208;247;242;252;208;223;243;264;201;229;250;262;35
1586208340415;232;228;244;247;206;244;239;251;208;224;244;265;201;229;249;261;35
1586208340451;231;229;246;249;207;244;238;248;207;224;244;266;202;230;249;261;35
1586208340487;229;228;246;251;210;246;239;248;206;222;244;266;202;230;250;262;35
1586208340522;229;226;244;249;210;248;241;251;207;222;242;264;202;230;251;262;35
1586208340558;230;227;243;247;207;246;241;252;208;223;243;264;201;229;250;262;35
