ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1586206851130;252;230;248;255;207;248;246;259;218;227;247;269;203;229;250;262;0
1586206851165;232;227;245;250;206;242;239;252;208;224;245;266;202;229;249;261;35
1586206851201;231;227;246;252;208;243;238;249;207;223;244;266;203;230;249;262;35
1586206851237;229;225;244;252;209;246;241;251;206;222;243;265;202;230;251;262;35
1586206851272;230;224;243;250;208;246;242;253;207;223;243;264;201;230;250;262;35
1586206851308;232;226;243;249;205;243;240;253;208;224;244;265;201;229;249;262;35
1586206851344;232;228;245;251;206;242;238;250;208;223;245;266;202;229;249;261;35
1586206851380;230;226;245;252;209;244;239;250;206;222;244;266;203;230;250;262;35
1586206851415;229;224;243;252;209;246;241;252;207;222;242;265;202;230;251;262;35
1586206851451;231;225;243;249;207;245;242;253;208;223;243;264;201;229;250;263;35
1586206851486;232;227;244;250;206;242;239;252;208;224;244;265;201;229;249;262;35
1586206851522;231;227;246;252;207;243;238;250;207;223;245;266;202;230;249;261;35
1586206851558;229;225;245;252;209;245;240;250;206;222;243;266;202;230;250;262;35
1586206851593;229;224;243;250;209;246;242;253;207;222;243;264;201;230;250;263;35
1586206851629;231;225;243;249;206;243;241;253;208;224;243;265;201;229;249;262;35
1586206851665;232;227;245;251;206;242;238;251;208;223;245;266;201;229;249;261;35
1586206851701;230;227;246;253;209;244;239;249;206;223;244;266;202;230;250;261;35
1586206851737;229;224;244;252;210;246;241;251;206;222;243;265;202;230;250;262;35
1586206851772;230;224;243;250;207;245;242;253;208;223;243;264;201;230;250;263;35
1586206851808;232;227;244;249;205;242;240;253;208;224;244;265;201;229;249;261;35
1586206851843;232;227;246;251;207;243;238;250;207;223;245;266;202;230;249;261;35
1586206851879;230;226;245;253;209;245;239;250;206;222;244;266;202;230;250;262;35
1586206851915;229;224;243;251;209;246;242;252;207;222;242;264;202;230;251;262;35
1586206851951;231;225;243;249;206;244;242;253;208;223;243;264;201;229;249;262;35
1586206851986;232;227;244;250;206;242;239;252;208;224;244;266;202;229;249;261;35
1586206852022;231;227;246;252;208;243;239;250;207;223;244;266;202;230;249;261;35
1586206852058;229;225;245;252;209;246;240;250;206;222;243;266;202;230;250;262;35
1586206852094;230;224;243;250;208;245;242;253;208;222;243;264;201;230;250;263;35
1586206852129;232;226;243;249;206;243;241;253;208;224;244;265;201;229;249;262;35
1586206852165;232;227;245;251;206;242;238;251;208;224;245;266;202;229;249;261;35
1586206852200;230;227;246;253;209;244;239;250;206;222;244;266;202;230;250;262;35
1586206852236;229;224;244;252;209;246;241;252;206;222;242;265;202;230;250;263;35
1586206852272;230;224;243;249;207;245;242;254;208;222;243;264;201;229;250;263;35
