ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1587482624043;235;213;215;209;226;245;222;229;243;240;245;249;251;250;263;260;0
1587482624078;231;207;208;202;227;246;223;228;243;239;244;248;251;251;264;261;35
1587482624114;231;207;207;201;226;247;224;229;243;239;244;248;250;250;264;262;35
1587482624150;232;208;207;201;225;246;223;230;245;240;244;248;249;249;263;261;35
1587482624186;233;209;208;201;225;245;222;229;244;240;245;249;250;249;263;260;35
1587482624221;231;208;208;202;226;245;222;228;243;239;245;249;251;250;264;260;35
1587482624257;230;207;207;202;227;247;223;229;243;238;244;249;250;251;264;261;35
1587482624293;231;207;206;201;226;246;224;229;244;240;243;248;249;250;264;262;35
1587482624328;233;208;207;201;224;245;223;229;245;240;244;248;249;249;263;261;35
1587482624364;232;209;208;201;225;245;222;229;244;240;245;249;250;249;263;260;35
1587482624400;231;208;208;202;227;246;222;228;242;239;244;249;251;251;264;261;35
1587482624435;230;207;207;202;227;247;223;229;243;239;243;248;250;251;264;261;35
1587482624471;231;207;207;201;225;246;223;230;245;240;244;248;249;249;264;261;35
1587482624507;233;208;207;201;224;245;223;229;245;241;245;248;249;249;263;260;35
1587482624544;232;209;208;202;226;245;222;228;243;240;245;249;250;250;263;260;35
1587482624578;230;207;208;202;227;246;223;228;242;239;244;249;251;251;264;261;35
1587482624614;231;207;207;201;226;247;223;229;244;239;243;248;249;250;264;262;35
1587482624650;232;208;207;200;225;245;223;230;245;240;244;248;248;249;263;261;35
1587482624685;233;209;208;201;225;244;222;229;244;240;245;249;250;249;263;260;35
1587482624721;231;208;208;202;226;245;222;228;243;239;245;249;251;251;263;260;35
1587482624757;230;207;207;202;227;247;223;229;243;238;244;248;250;251;264;261;35
1587482624792;231;207;206;201;226;246;223;229;244;240;244;247;249;250;264;262;35
1587482624828;232;208;207;201;225;245;223;229;245;240;244;248;249;249;263;261;35
1587482624864;232;209;208;201;225;245;222;229;244;240;245;249;250;249;263;260;35
1587482624899;231;208;208;202;226;246;222;229;243;239;244;249;251;251;264;261;35
1587482624935;230;207;207;202;227;247;223;229;243;239;244;248;250;251;264;261;35
1587482624971;232;207;207;201;225;246;223;230;244;240;244;248;249;249;263;261;35
1587482625009;233;209;207;201;224;244;222;229;244;240;245;248;249;249;263;260;35
1587482625042;232;209;208;202;226;245;222;228;243;240;245;249;250;250;263;260;35
1587482625078;230;207;208;202;227;246;223;228;242;239;244;248;251;251;264;261;35
1587482625114;231;207;207;201;226;247;223;229;244;239;243;248;249;250;264;262;35
1587482625149;232;208;207;201;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482625185;233;209;208;201;225;245;222;229;244;240;245;249;250;249;263;260;35
1587482625221;231;208;208;202;226;245;222;228;243;239;244;249;251;250;263;261;35
1587482625264;230;207;207;202;227;247;223;229;243;238;244;248;250;251;264;261;35
1587482625292;231;207;207;201;226;246;224;229;244;239;244;247;249;250;264;261;35
1587482625328;232;208;207;200;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482625364;232;209;208;201;225;245;222;229;244;240;245;249;250;250;263;260;35
1587482625399;231;208;208;202;226;246;222;228;243;239;244;249;251;251;264;260;35
1587482625435;230;207;207;201;226;247;223;229;243;239;243;248;250;251;264;261;35
1587482625471;232;207;207;201;225;246;223;230;245;240;244;247;248;249;263;261;35
1587482625506;233;209;208;201;225;245;223;229;244;241;245;249;249;249;263;260;35
1587482625542;232;209;208;202;226;245;222;228;243;240;245;249;250;250;263;260;35
1587482625578;230;207;207;202;227;246;223;228;242;239;244;248;251;251;264;261;35
1587482625614;231;207;207;201;226;247;223;229;244;239;243;248;249;250;264;261;35
1587482625649;232;208;207;200;225;245;223;230;245;240;244;248;248;249;263;261;35
1587482625685;232;209;208;201;225;245;222;229;244;240;245;249;250;249;263;260;35
1587482625721;231;208;208;202;226;246;222;228;243;239;244;249;251;251;263;260;35
1587482625756;230;207;207;202;227;247;223;229;243;238;244;248;250;251;264;261;35
1587482625792;231;207;207;201;226;246;223;229;244;239;244;248;249;250;264;262;35
1587482625827;232;208;207;201;224;245;223;229;245;240;244;248;249;249;263;261;35
1587482625863;232;209;208;201;226;245;222;229;244;240;245;249;250;250;263;260;35
1587482625899;231;208;208;202;227;246;222;228;242;239;244;249;251;251;264;260;35
1587482625935;230;207;207;201;226;247;223;229;243;239;243;248;250;250;264;261;35
1587482625971;232;207;207;201;225;246;223;230;244;240;244;248;248;249;263;261;35
1587482626007;233;209;208;201;225;245;223;229;244;241;245;248;249;249;263;260;35
1587482626042;232;209;208;202;226;245;222;228;243;240;245;249;250;250;263;260;35
1587482626078;230;207;208;202;227;246;223;229;242;239;244;249;251;251;264;261;35
1587482626113;231;207;207;201;226;246;223;229;244;239;243;248;249;250;264;262;35
1587482626149;232;208;207;201;225;245;223;230;245;240;244;248;249;249;263;261;35
1587482626185;232;209;208;201;225;244;222;229;244;240;245;249;250;249;263;260;35
